Cow_ID,Day,Breed,Months after giving birth,Previous_Mastits_status,IUFL,EUFL,IUFR,EUFR,IURL,EURL,IURR,EURR,Temperature,Hardness,Pain,Milk_visibility,class1,Rumination_Time_min,Eating_Time_min,Lying_Time_hr,Steps_Per_Day,SCC_K_cells_per_mL,Milk_Conductivity_mS,Milk_Yield_L
cow4,4,Jersey,1,0,194,224,203,221,191,229,203,226,38.6,0.0,0.0,0,0,492.8,344.1,13.3,3171,57.1,2.6,20.5
cow4,5,Jersey,1,0,200,227,204,236,197,241,198,235,38.5,0.0,0.0,0,0,568.9,434.9,12.4,3449,191.9,3.4,22.1
cow4,6,Jersey,1,0,188,222,196,236,200,228,201,235,38.6,0.0,0.0,0,0,513.8,383.4,11.1,2869,50.3,5.8,19.6
cow5,1,Jersey,1,0,202,231,200,235,196,220,203,220,38.6,0.0,0.0,0,1,277.9,232.0,15.1,442,2903.8,7.8,11.6
cow5,2,Jersey,1,0,200,227,197,232,194,239,192,228,38.6,0.0,0.0,0,1,280.9,244.5,12.7,1169,3167.0,9.6,10.9
cow5,3,Jersey,1,0,207,224,200,234,205,225,192,228,38.6,0.0,0.0,0,1,316.3,276.9,11.3,1212,2429.4,9.0,8.8
cow5,4,Jersey,1,0,200,212,178,218,196,223,192,231,39.1,0.0,1.0,0,1,309.6,259.3,14.7,480,712.6,7.8,13.5
cow5,5,Jersey,1,0,201,195,164,201,192,221,205,231,39.9,0.0,0.0,0,1,311.5,255.3,12.0,1318,2629.9,7.8,11.1
cow5,6,Jersey,1,0,191,181,154,191,199,219,195,234,40.4,1.0,0.0,1,1,312.2,253.6,13.3,870,1420.5,9.3,10.0
cow6,1,Jersey,1,0,194,234,188,224,189,225,202,225,38.6,0.0,0.0,1,0,605.7,437.5,11.7,3260,257.5,6.2,23.2
cow6,2,Jersey,1,0,200,227,191,239,195,227,196,232,38.4,0.0,0.0,0,0,503.7,363.8,12.0,2902,174.2,4.3,20.4
cow6,3,Jersey,1,0,196,233,199,241,208,233,192,236,38.7,0.0,0.0,0,0,499.5,359.5,12.5,3784,60.8,5.7,20.4
cow6,4,Jersey,1,0,197,219,195,234,193,234,212,231,38.2,0.0,0.0,0,0,487.4,336.4,12.2,2898,269.0,5.3,21.1
cow6,5,Jersey,1,0,195,234,195,232,203,224,184,223,38.6,0.0,0.0,0,0,544.6,396.2,12.2,3172,100.7,5.5,20.9
cow6,6,Jersey,1,0,204,224,196,230,191,228,188,227,38.2,0.0,0.0,0,0,565.2,403.8,10.6,2915,25.0,4.6,20.5
cow7,1,Holstein Friesian,2,0,191,230,197,231,202,216,205,218,38.2,1.0,0.0,0,1,290.4,246.5,13.9,651,1873.2,7.5,11.7
cow7,2,Holstein Friesian,2,0,192,227,210,237,203,232,201,233,38.1,0.0,0.0,0,1,261.4,238.4,11.7,1218,7453.3,7.2,13.6
cow7,3,Holstein Friesian,2,0,208,237,206,231,200,222,197,234,38.0,0.0,0.0,0,1,262.0,248.7,15.4,1601,1030.5,7.0,10.9
cow7,4,Holstein Friesian,2,0,197,222,200,229,204,230,191,231,38.0,0.0,0.0,0,1,321.0,283.2,11.8,1541,1888.5,9.5,7.9
cow7,5,Holstein Friesian,2,0,196,314,195,232,199,223,206,216,38.8,0.0,0.0,0,1,324.7,282.8,13.1,1183,666.9,8.0,10.5
cow7,6,Holstein Friesian,2,0,200,363,195,224,206,227,198,228,40.0,1.0,1.0,0,1,316.7,263.7,11.9,717,757.9,7.1,12.8
cow8,1,Jersey,2,0,195,235,199,232,186,223,197,225,38.6,0.0,0.0,0,0,493.4,353.8,10.6,3258,44.6,5.3,21.0
cow8,2,Jersey,2,0,199,234,186,230,197,231,191,222,38.6,0.0,0.0,0,0,529.3,366.8,11.5,3168,34.0,4.1,20.5
cow8,3,Jersey,2,0,193,227,196,226,201,232,197,225,38.3,0.0,0.0,0,0,524.7,372.1,10.9,3337,51.8,4.0,20.8
cow8,4,Jersey,2,0,193,233,204,238,206,227,198,228,38.7,0.0,0.0,0,0,528.7,385.6,12.9,2890,263.9,6.2,21.7
cow8,5,Jersey,2,0,198,236,200,223,203,231,200,231,38.6,0.0,0.0,0,0,554.9,386.8,11.8,2326,77.5,3.4,19.5
cow8,6,Jersey,2,0,187,232,193,227,198,239,191,229,38.7,0.0,0.0,0,0,528.9,387.1,10.9,3214,136.7,4.7,19.7
cow9,1,Jersey,2,0,197,233,191,227,200,220,202,233,38.7,0.0,0.0,0,0,547.2,378.9,11.3,2996,168.8,4.0,19.1
cow9,2,Jersey,2,0,195,238,206,232,198,234,193,233,38.8,0.0,0.0,0,0,522.7,351.7,13.0,3557,36.9,3.9,21.5
cow9,3,Jersey,2,0,200,238,188,224,196,233,199,232,38.6,0.0,0.0,0,0,531.6,401.7,12.6,3011,44.7,3.3,19.5
cow9,4,Jersey,2,0,204,230,201,230,194,233,203,229,38.7,0.0,0.0,0,0,545.3,386.6,10.1,2982,134.8,4.5,20.9
cow9,5,Jersey,2,0,200,228,212,239,200,232,206,236,38.8,0.0,1.0,0,0,461.7,330.0,10.7,3167,51.3,3.8,20.5
cow9,6,Jersey,2,0,197,223,188,231,215,238,197,229,38.8,0.0,0.0,0,0,507.2,352.6,12.1,2761,128.8,5.0,19.2
cow10,1,Jersey,1,0,194,234,194,239,203,236,201,222,38.3,0.0,0.0,0,0,501.2,376.3,11.9,2742,253.0,4.5,21.3
cow10,2,Jersey,1,0,207,222,198,237,200,232,193,228,38.4,0.0,0.0,0,0,494.4,389.4,10.2,2961,29.1,4.2,21.0
cow10,3,Jersey,1,0,192,225,197,230,197,240,185,229,38.2,0.0,0.0,0,0,509.0,366.1,12.4,2632,62.1,3.8,21.6
cow10,4,Jersey,1,0,199,231,202,230,183,222,196,223,38.3,0.0,0.0,0,0,579.8,412.0,10.4,2908,69.3,5.6,17.9
cow10,5,Jersey,1,0,191,228,197,225,200,221,193,229,38.1,0.0,0.0,0,0,485.4,378.5,13.1,3776,55.2,5.1,20.4
cow10,6,Jersey,1,0,207,228,209,222,207,221,200,225,38.3,0.0,0.0,0,0,558.7,370.7,12.1,3417,52.2,4.0,19.5
cow11,1,Jersey,2,0,195,225,189,216,206,237,202,232,39.0,0.0,0.0,0,0,452.7,375.0,10.1,3123,56.5,3.4,21.9
cow11,2,Jersey,2,0,191,230,193,233,207,223,194,229,39.0,0.0,0.0,0,0,506.6,416.0,10.9,3621,78.6,3.0,19.8
cow11,3,Jersey,2,0,207,231,194,229,195,230,195,228,38.7,0.0,0.0,0,0,526.5,335.2,10.8,2670,89.0,5.4,19.2
cow11,4,Jersey,2,0,206,231,198,239,196,216,202,230,39.0,0.0,0.0,0,0,543.4,392.3,11.7,3996,153.5,5.2,20.9
cow11,5,Jersey,2,0,195,216,203,226,192,217,202,214,39.1,0.0,0.0,0,0,548.4,384.1,11.3,2816,78.1,5.3,20.3
cow11,6,Jersey,2,0,202,232,209,232,205,226,188,235,38.9,0.0,0.0,0,0,551.7,394.3,10.1,3802,172.0,4.4,19.3
cow12,1,Jersey,2,0,203,232,201,246,193,232,191,231,38.4,0.0,0.0,0,0,506.1,364.1,9.8,3800,52.8,5.1,19.2
cow12,2,Jersey,2,0,190,241,195,227,195,219,195,222,38.6,0.0,0.0,0,0,501.5,383.5,12.2,2299,34.6,5.3,17.4
cow12,3,Jersey,2,0,200,229,201,231,205,227,187,236,38.4,0.0,0.0,0,0,554.3,398.6,11.8,3587,64.4,4.4,20.0
cow12,4,Jersey,2,0,194,218,201,233,205,228,194,230,38.5,0.0,0.0,0,0,512.3,359.0,11.6,2886,109.3,4.2,20.3
cow12,5,Jersey,2,0,188,237,211,236,196,232,199,234,38.6,0.0,0.0,0,0,469.0,346.3,11.8,2773,143.9,3.7,20.3
cow12,6,Jersey,2,0,192,231,195,222,194,221,197,243,38.6,0.0,0.0,0,0,474.7,362.1,10.8,3210,217.8,4.8,20.3
cow13,1,Jersey,2,0,195,229,198,232,193,232,198,221,38.5,0.0,0.0,0,0,483.2,336.6,11.7,2597,97.1,4.9,20.3
cow13,2,Jersey,2,0,184,228,189,240,201,231,193,221,38.6,0.0,0.0,0,0,539.9,362.3,14.5,3201,133.6,4.2,19.2
cow13,3,Jersey,2,0,191,223,191,223,194,231,200,229,38.4,0.0,0.0,0,0,525.7,419.3,12.9,2624,204.5,4.3,18.7
cow13,4,Jersey,2,0,186,230,206,218,181,228,204,228,38.5,0.0,0.0,0,0,547.6,385.0,11.2,3071,46.4,4.3,18.5
cow13,5,Jersey,2,0,191,223,188,239,203,229,196,224,38.5,0.0,0.0,0,0,502.9,367.3,10.9,3534,68.7,5.1,21.0
cow13,6,Jersey,2,0,195,225,202,229,198,222,194,230,38.3,0.0,0.0,0,0,526.3,376.6,8.1,3155,538.6,3.4,19.2
cow14,1,Jersey,1,0,189,229,184,237,201,229,183,223,38.5,0.0,0.0,0,0,545.0,404.9,12.8,2856,143.5,3.6,18.3
cow14,2,Jersey,1,0,200,231,207,229,205,227,200,227,38.4,0.0,0.0,0,0,507.6,404.5,12.4,3217,113.0,3.6,19.0
cow14,3,Jersey,1,0,194,247,200,233,202,231,183,231,38.4,0.0,0.0,0,0,538.3,401.4,10.8,2437,147.3,4.4,20.5
cow14,4,Jersey,1,0,199,219,198,221,183,220,197,228,38.5,0.0,0.0,0,0,493.5,336.8,9.8,2664,31.6,4.8,19.4
cow14,5,Jersey,1,0,196,232,202,244,197,236,199,230,38.5,0.0,0.0,0,0,505.5,346.4,10.1,2828,50.8,3.6,20.2
cow14,6,Jersey,1,0,196,235,193,221,194,226,194,228,38.5,0.0,0.0,0,0,504.7,363.7,12.0,3315,39.5,5.2,20.9
cow15,1,Jersey,1,0,212,230,195,216,209,231,196,215,38.5,0.0,0.0,0,1,247.2,221.5,13.4,1462,2795.8,9.2,12.4
cow15,2,Jersey,1,0,194,221,189,241,198,226,198,229,38.5,0.0,0.0,0,1,314.5,235.7,14.3,1514,1482.0,8.3,13.3
cow15,3,Jersey,1,0,184,230,207,298,202,226,194,224,39.0,0.0,1.0,0,1,276.2,258.5,13.6,1289,2154.7,8.9,14.6
cow15,4,Jersey,1,0,177,223,191,311,191,228,202,246,39.8,1.0,0.0,0,1,295.5,235.7,14.7,985,1552.9,7.3,12.7
cow15,5,Jersey,1,0,172,231,199,333,203,215,202,235,39.9,1.0,1.0,1,1,314.2,293.4,13.9,1895,538.0,7.3,13.6
cow15,6,Jersey,1,0,163,218,196,361,195,232,195,217,40.3,1.0,1.0,1,1,312.9,298.5,14.5,1021,4071.4,8.4,9.4
cow16,1,Jersey,1,0,199,230,202,233,185,237,192,234,38.4,0.0,0.0,0,0,546.6,391.5,9.0,3168,23.5,4.5,21.0
cow16,2,Jersey,1,0,191,233,199,239,194,235,190,229,38.8,0.0,0.0,0,0,516.1,385.5,10.0,2955,48.1,3.8,20.8
cow16,3,Jersey,1,0,196,232,197,232,202,238,199,228,38.6,0.0,0.0,0,0,503.1,347.7,11.1,3225,32.0,5.6,21.9
cow16,4,Jersey,1,0,194,223,202,238,202,227,185,222,38.8,0.0,0.0,0,0,516.8,389.3,12.8,2758,43.3,4.7,22.3
cow16,5,Jersey,1,0,191,228,188,227,194,233,201,229,38.8,0.0,0.0,0,0,452.5,330.5,13.8,3421,91.3,5.1,19.2
cow16,6,Jersey,1,0,201,236,194,228,191,218,197,225,38.6,0.0,0.0,0,0,462.1,325.7,11.3,3551,186.4,4.0,19.0
cow17,1,Jersey,1,0,205,239,191,225,198,216,187,223,38.1,0.0,0.0,0,0,467.1,343.0,10.8,3397,27.0,5.8,20.4
cow17,2,Jersey,1,0,194,223,190,226,194,228,200,228,38.2,0.0,0.0,0,0,480.1,347.7,9.2,3063,54.1,4.4,20.5
cow17,3,Jersey,1,0,208,234,199,233,194,228,196,224,38.1,0.0,0.0,0,0,536.0,383.7,12.5,2826,23.7,5.3,21.7
cow17,4,Jersey,1,0,203,232,197,243,194,231,204,222,38.2,0.0,0.0,0,0,483.8,375.4,10.8,4129,52.3,4.0,19.1
cow17,5,Jersey,1,0,198,230,194,233,193,229,189,213,38.4,0.0,0.0,0,0,504.9,356.8,15.1,2603,83.5,4.6,22.2
cow17,6,Jersey,1,0,195,234,204,231,202,225,191,232,38.1,0.0,0.0,0,0,572.0,442.4,10.6,3352,134.9,4.9,20.7
cow18,1,Jersey,1,0,200,226,194,221,199,227,203,232,38.4,0.0,0.0,0,0,505.7,347.6,14.0,3133,18.4,6.1,22.8
cow18,2,Jersey,1,0,198,229,185,232,191,235,197,225,38.0,0.0,0.0,0,0,549.5,426.8,12.4,2975,116.2,4.1,17.6
cow18,3,Jersey,1,0,198,234,187,231,193,228,206,224,38.3,0.0,0.0,0,0,482.7,339.3,10.3,3074,40.6,4.7,21.0
cow18,4,Jersey,1,0,201,230,199,233,193,229,211,231,38.4,0.0,0.0,0,0,511.8,375.1,11.8,2796,34.3,5.0,20.7
cow18,5,Jersey,1,0,193,231,200,229,214,225,192,227,38.2,0.0,0.0,0,0,482.0,348.4,12.4,3171,83.2,3.4,16.9
cow18,6,Jersey,1,0,199,231,202,227,205,233,214,224,38.1,0.0,0.0,0,0,506.4,365.7,11.2,3127,122.5,2.8,20.1
cow19,1,Jersey,3,0,198,232,195,231,192,229,195,232,38.3,0.0,0.0,0,0,553.6,414.6,12.5,4071,74.1,3.7,18.7
cow19,2,Jersey,3,0,187,229,193,229,201,228,200,226,38.4,0.0,0.0,0,0,450.9,365.5,12.5,3428,37.3,5.3,20.3
cow19,3,Jersey,3,0,198,229,189,225,193,231,201,230,38.7,0.0,0.0,0,0,537.4,411.9,12.2,3206,74.1,5.9,19.4
cow19,4,Jersey,3,0,191,229,196,225,203,226,193,236,38.7,0.0,0.0,0,0,529.5,378.4,11.5,3230,48.1,3.8,20.8
cow19,5,Jersey,3,0,191,231,201,225,196,234,196,226,38.1,0.0,0.0,0,0,496.2,369.1,10.1,3736,120.6,3.5,20.9
cow19,6,Jersey,3,0,179,241,186,230,199,232,211,219,38.6,0.0,0.0,0,0,462.2,331.2,11.4,2612,167.0,5.7,19.2
cow20,1,Jersey,3,0,213,226,195,213,200,241,205,234,38.6,0.0,0.0,0,0,522.9,363.9,11.7,2927,159.7,4.0,22.9
cow20,2,Jersey,3,0,196,243,200,237,183,216,198,223,38.5,0.0,0.0,0,0,498.8,346.7,9.2,2237,78.4,4.2,19.5
cow20,3,Jersey,3,0,214,235,207,217,203,228,206,233,,0.0,0.0,0,0,529.3,377.7,11.7,3224,172.5,5.7,20.3
cow20,4,Jersey,3,0,199,236,207,228,213,236,192,222,38.2,0.0,0.0,0,0,520.9,385.0,11.4,3339,39.2,5.5,20.4
cow20,5,Jersey,3,0,201,229,196,221,202,220,204,217,38.4,0.0,0.0,0,0,584.1,384.0,9.9,2602,272.2,5.2,20.5
cow20,6,Jersey,3,0,195,225,195,231,192,231,183,223,38.3,0.0,0.0,0,0,510.4,373.4,11.1,3574,39.1,3.1,18.3
cow21,1,Jersey,3,0,196,227,205,226,209,236,198,223,38.4,0.0,0.0,0,1,254.1,257.7,13.1,1012,388.6,7.0,11.4
cow21,2,Jersey,3,0,197,233,202,245,195,234,195,224,38.8,0.0,0.0,0,1,302.2,279.5,15.8,1163,5996.6,8.9,14.5
cow21,3,Jersey,3,0,190,255,191,225,206,229,195,232,38.9,0.0,0.0,0,1,303.8,249.7,13.8,1348,1125.8,8.3,12.5
cow21,4,Jersey,3,0,209,262,197,229,203,229,193,224,39.7,1.0,1.0,0,1,349.4,262.5,14.7,1938,2192.1,7.4,12.4
cow21,5,Jersey,3,0,201,274,201,235,200,228,208,234,39.7,1.0,1.0,0,1,328.4,283.3,13.4,957,869.4,7.7,11.9
cow21,6,Jersey,3,0,196,277,187,234,195,226,201,230,40.8,1.0,1.0,1,1,309.3,221.9,11.3,1416,9999.0,8.9,13.5
cow22,1,Jersey,3,0,201,232,202,227,210,232,197,216,38.1,0.0,0.0,0,0,578.5,435.1,12.3,3310,279.6,5.7,23.1
cow22,2,Jersey,3,0,207,229,208,224,200,232,201,230,38.5,0.0,0.0,0,0,472.4,347.6,10.7,3227,231.2,4.5,20.4
cow22,3,Jersey,3,0,206,235,200,236,206,233,210,233,38.2,0.0,0.0,0,0,494.4,397.6,11.1,3242,84.4,4.0,19.3
cow22,4,Jersey,3,0,204,238,199,224,196,221,202,226,38.4,0.0,0.0,0,0,482.9,326.7,10.2,3305,156.4,4.3,21.7
cow22,5,Jersey,3,0,208,225,199,229,206,229,192,229,38.5,0.0,0.0,0,0,504.4,387.2,11.6,2778,76.6,5.6,19.4
cow22,6,Jersey,3,0,196,226,197,224,197,226,212,217,38.5,0.0,0.0,0,0,464.9,345.2,12.8,3675,172.4,5.6,17.5
cow23,1,Jersey,3,0,196,227,195,230,202,227,196,238,38.2,0.0,0.0,0,1,320.4,264.3,14.6,1256,1433.1,8.2,13.5
cow23,2,Jersey,3,0,204,220,187,237,190,229,206,232,38.6,0.0,0.0,0,1,286.1,225.0,15.4,1202,7155.6,7.6,16.1
cow23,3,Jersey,3,0,203,230,200,232,197,229,197,229,38.5,0.0,0.0,0,1,236.2,230.4,15.6,1839,1376.2,8.9,11.4
cow23,4,Jersey,3,0,199,258,224,229,190,222,195,226,38.9,0.0,0.0,0,1,254.4,242.8,11.0,1048,1508.2,9.3,11.8
cow23,5,Jersey,3,0,193,266,230,236,197,232,188,235,39.2,1.0,0.0,1,1,307.5,294.7,12.1,1428,1370.0,6.8,8.9
cow23,6,Jersey,3,0,188,280,239,226,208,234,201,228,39.6,1.0,1.0,1,1,328.5,293.3,11.3,1011,2330.0,7.8,12.8
cow24,1,Jersey,3,0,207,232,200,230,194,238,193,235,38.5,0.0,0.0,0,0,599.9,417.2,12.3,4008,60.7,5.4,19.5
cow24,2,Jersey,3,0,194,235,192,230,186,221,195,226,38.4,1.0,0.0,0,0,636.6,431.9,10.7,3923,111.2,4.6,19.4
cow24,3,Jersey,3,0,203,231,192,229,209,244,203,223,38.5,0.0,0.0,0,0,536.6,365.3,10.9,2956,57.0,4.1,20.5
cow24,4,Jersey,3,0,198,236,202,223,194,235,206,230,38.4,0.0,0.0,0,0,480.4,382.8,11.2,3208,137.2,4.6,21.3
cow24,5,Jersey,3,0,192,233,216,222,207,233,193,217,38.4,0.0,0.0,0,0,434.7,314.8,12.0,3002,226.7,4.8,19.9
cow24,6,Jersey,3,0,200,235,205,232,199,227,200,225,38.3,0.0,0.0,0,0,530.7,413.1,9.7,2861,83.8,3.6,18.5
cow25,1,Jersey,2,0,194,235,195,237,190,226,197,231,38.4,0.0,0.0,0,0,487.5,369.9,10.0,3048,367.7,4.6,20.9
cow25,2,Jersey,2,0,193,222,194,235,190,225,205,224,38.4,0.0,0.0,0,0,503.4,376.0,11.5,2984,173.1,4.8,20.3
cow25,3,Jersey,2,0,208,229,197,239,202,222,196,216,38.5,0.0,0.0,0,0,495.5,359.8,12.9,2392,347.9,4.1,19.7
cow25,4,Jersey,2,0,190,231,198,238,210,236,197,229,38.5,0.0,0.0,0,0,514.4,388.5,11.5,3105,76.1,3.9,18.1
cow25,5,Jersey,2,0,194,229,197,222,199,231,201,228,38.4,0.0,0.0,0,0,562.6,405.3,10.6,2983,25.2,4.1,21.8
cow25,6,Jersey,2,0,203,237,210,228,186,228,212,226,38.3,0.0,0.0,0,0,526.3,377.1,8.9,3125,48.8,3.7,19.9
cow26,1,Jersey,2,0,185,238,193,230,190,231,201,231,38.5,0.0,0.0,0,0,513.7,388.7,12.6,2969,52.3,5.2,20.9
cow26,2,Jersey,2,0,197,228,195,227,201,238,192,228,38.4,0.0,0.0,0,0,478.6,352.6,10.6,2856,41.1,3.7,21.2
cow26,3,Jersey,2,0,196,230,199,230,200,224,199,233,38.3,0.0,0.0,1,0,453.0,325.4,10.1,3350,17.4,4.7,21.2
cow26,4,Jersey,2,0,204,223,195,234,192,235,193,224,38.1,0.0,0.0,0,0,500.5,379.1,9.4,3213,161.2,4.2,19.3
cow26,5,Jersey,2,0,201,226,204,230,198,224,205,233,38.3,0.0,0.0,0,0,517.8,377.6,9.8,3558,22.0,3.9,19.5
cow26,6,Jersey,2,0,190,230,201,233,200,232,193,225,38.4,0.0,0.0,0,0,590.7,431.2,10.3,3198,150.9,5.6,19.6
cow27,1,Jersey,1,0,197,228,195,235,208,231,200,225,38.8,0.0,0.0,0,0,525.2,375.0,11.2,2921,359.5,4.4,18.6
cow27,2,Jersey,1,0,197,233,194,224,192,236,203,233,38.5,0.0,0.0,0,0,559.3,381.8,10.0,3247,46.4,4.0,23.1
cow27,3,Jersey,1,0,192,225,202,224,196,221,198,228,38.8,0.0,0.0,0,0,500.0,399.2,11.7,2208,103.8,3.9,19.3
cow27,4,Jersey,1,0,194,227,200,233,204,230,202,235,38.9,0.0,0.0,0,0,472.6,379.4,11.2,3841,60.3,4.8,19.9
cow27,5,Jersey,1,0,206,219,199,224,201,227,191,226,39.0,0.0,0.0,0,0,481.4,372.7,14.2,3110,140.6,5.2,19.0
cow27,6,Jersey,1,0,204,231,201,225,203,236,189,227,38.8,0.0,0.0,0,0,491.0,355.6,9.5,3874,34.8,5.5,21.0
cow28,1,Jersey,1,0,200,229,193,228,195,223,185,226,38.6,0.0,0.0,0,1,380.1,300.7,13.7,952,1794.2,7.9,14.9
cow28,2,Jersey,1,0,204,236,192,231,201,233,197,230,38.5,0.0,0.0,0,1,262.1,260.2,13.7,853,4925.1,7.8,11.8
cow28,3,Jersey,1,0,201,216,195,234,198,235,193,233,39.3,1.0,0.0,0,1,328.5,268.8,12.3,1446,1918.2,8.1,15.4
cow28,4,Jersey,1,0,201,206,196,230,195,228,200,219,39.6,0.0,1.0,0,1,258.9,221.9,13.6,1445,537.0,8.1,15.3
cow28,5,Jersey,1,0,199,199,192,232,193,213,194,230,39.9,1.0,1.0,1,1,332.3,311.1,14.4,1435,5427.2,7.4,10.3
cow28,6,Jersey,1,0,198,188,198,221,194,226,196,227,40.4,1.0,1.0,1,1,310.4,263.4,13.6,1374,702.1,9.2,15.1
cow29,1,Jersey,1,0,198,220,191,225,201,224,186,231,38.4,0.0,0.0,0,0,513.7,408.1,13.2,2749,83.9,4.5,22.4
cow29,2,Jersey,1,0,202,232,185,231,191,230,198,229,38.1,0.0,0.0,0,0,518.4,353.9,8.9,2406,118.8,4.9,20.4
cow29,3,Jersey,1,0,200,240,188,228,190,225,196,241,38.8,0.0,0.0,0,0,493.8,373.6,10.5,3113,86.3,4.8,20.1
cow29,4,Jersey,1,0,195,226,188,241,206,231,196,229,38.5,0.0,0.0,0,0,537.8,428.0,13.3,2487,458.4,4.8,18.1
cow29,5,Jersey,1,0,206,238,188,236,190,217,204,226,38.4,0.0,0.0,0,0,501.8,369.6,12.6,2449,131.9,3.7,20.2
cow29,6,Jersey,1,0,202,230,190,228,206,235,196,227,38.5,0.0,0.0,0,0,471.0,345.8,12.1,2848,69.1,4.5,17.0
cow30,1,Jersey,1,0,200,223,189,236,196,229,201,229,38.8,0.0,0.0,0,0,468.9,328.3,13.0,3172,120.4,6.3,21.3
cow30,2,Jersey,1,0,190,229,197,232,190,227,193,231,38.8,0.0,0.0,0,0,526.9,403.6,9.2,3795,91.8,5.8,18.0
cow30,3,Jersey,1,0,204,233,191,220,196,232,192,229,38.4,0.0,0.0,0,0,583.2,404.0,12.5,3392,81.9,4.6,19.9
cow30,4,Jersey,1,0,191,234,202,229,186,230,189,241,38.8,0.0,0.0,0,0,526.4,382.1,12.8,3573,94.0,4.2,19.2
cow30,5,Jersey,1,0,199,226,206,232,213,226,206,243,38.8,0.0,0.0,0,0,515.3,354.9,10.7,3261,58.9,2.7,22.4
cow30,6,Jersey,1,0,206,229,193,227,203,225,196,225,38.7,0.0,0.0,0,0,531.4,414.9,14.7,3147,92.0,4.1,19.4
cow31,1,Jersey,1,0,205,234,194,229,196,231,188,228,38.9,0.0,0.0,0,0,572.2,432.1,11.7,4002,56.0,4.4,19.5
cow31,2,Jersey,1,0,206,238,203,233,196,224,198,226,39.1,0.0,0.0,0,0,528.8,384.7,8.9,2471,21.4,4.2,21.1
cow31,3,Jersey,1,0,187,232,201,222,191,225,194,230,38.9,0.0,0.0,0,0,503.6,349.4,12.0,2835,174.6,4.3,19.0
